OID,Year,LocationInfo,Longitude,Latitude,ShootingAngle
628304,2022,100308,113.549701,23.20948461,0
628305,2022,100308,113.549701,23.20948461,180
628306,2022,100308,113.549701,23.20948461,270
628307,2022,100308,113.549701,23.20948461,90
628308,2022,100309,113.5509657,23.20916225,0
628309,2022,100309,113.5509657,23.20916225,180
628310,2022,100309,113.5509657,23.20916225,270
628311,2022,100309,113.5509657,23.20916225,90
628312,2022,101295,113.3851092,23.20524583,0
628313,2022,101295,113.3851092,23.20524583,180
628314,2022,101295,113.3851092,23.20524583,270
628315,2022,101295,113.3851092,23.20524583,90
628316,2022,101975,113.4195785,23.202858,0
628317,2022,101975,113.4195785,23.202858,180
628318,2022,101975,113.4195785,23.202858,270
628319,2022,101975,113.4195785,23.202858,90
628320,2022,101980,113.4232514,23.20252037,0
628321,2022,101980,113.4232514,23.20252037,180
628322,2022,101980,113.4232514,23.20252037,270
628323,2022,101980,113.4232514,23.20252037,90
628324,2022,101993,113.5411509,23.20290181,0
628325,2022,101993,113.5411509,23.20290181,180
628326,2022,101993,113.5411509,23.20290181,270
628327,2022,101993,113.5411509,23.20290181,90
628328,2022,102149,113.4558282,23.20220092,0
628329,2022,102149,113.4558282,23.20220092,180
628330,2022,102149,113.4558282,23.20220092,270
628331,2022,102149,113.4558282,23.20220092,90
628332,2022,102686,113.3926888,23.19875783,0
628333,2022,102686,113.3926888,23.19875783,180
628334,2022,102686,113.3926888,23.19875783,270
628335,2022,102686,113.3926888,23.19875783,90
628336,2022,102687,113.3925848,23.19793623,0
628337,2022,102687,113.3925848,23.19793623,180
628338,2022,102687,113.3925848,23.19793623,270
628339,2022,102687,113.3925848,23.19793623,90
628340,2022,103359,113.3903469,23.19683931,0
628341,2022,103359,113.3903469,23.19683931,180
628342,2022,103359,113.3903469,23.19683931,270
628343,2022,103359,113.3903469,23.19683931,90
628344,2022,103375,113.4204861,23.19620905,0
628345,2022,103375,113.4204861,23.19620905,180
628346,2022,103375,113.4204861,23.19620905,270
628347,2022,103375,113.4204861,23.19620905,90
628348,2022,103797,113.3875984,23.19580276,0
628349,2022,103797,113.3875984,23.19580276,180
628350,2022,103797,113.3875984,23.19580276,270
628351,2022,103797,113.3875984,23.19580276,90
628352,2022,103805,113.392944,23.19581253,0
628353,2022,103805,113.392944,23.19581253,180
628354,2022,103805,113.392944,23.19581253,270
628355,2022,103805,113.392944,23.19581253,90
628356,2022,103806,113.3942603,23.19545163,0
628357,2022,103806,113.3942603,23.19545163,180
628358,2022,103806,113.3942603,23.19545163,270
628359,2022,103806,113.3942603,23.19545163,90
628360,2022,104015,113.4233765,23.19432571,0
628361,2022,104015,113.4233765,23.19432571,180
628362,2022,104015,113.4233765,23.19432571,270
628363,2022,104015,113.4233765,23.19432571,90
628364,2022,104247,113.4036781,23.19354973,0
628365,2022,104247,113.4036781,23.19354973,180
628366,2022,104247,113.4036781,23.19354973,270
628367,2022,104247,113.4036781,23.19354973,90
628368,2022,104910,113.4333652,23.19098898,0
628369,2022,104910,113.4333652,23.19098898,180
628370,2022,104910,113.4333652,23.19098898,270
628371,2022,104910,113.4333652,23.19098898,90
